time,xcoord,ycoord,depth
0.016666667,6,0,0.066
0.016666667,19,24,0.067
0.016666667,13,22,0
0.016666667,8,22,0
0.016666667,14,23,0
0.016666667,7,19,0
0.016666667,22,18,0.066
0.016666667,16,12,0
0.016666667,19,3,0
0.016666667,20,19,0
0.016666667,11,9,0.007
0.016666667,1,10,0
0.016666667,19,15,0
0.016666667,5,14,0.066
0.016666667,5,23,0
0.016666667,22,1,0.063
0.016666667,6,6,0.066
0.016666667,15,1,0
0.016666667,2,15,0
0.016666667,22,11,0.066
0.016666667,2,12,0
0.016666667,1,11,0
0.016666667,4,13,0.001
0.016666667,17,17,0.001
0.016666667,15,3,0.001
0.016666667,1,2,0
0.016666667,22,17,0.063
0.016666667,21,10,0
0.016666667,0,4,0.067
0.016666667,16,2,0.066
0.016666667,16,20,0
0.016666667,22,16,0.001
0.016666667,6,16,0.067
0.016666667,18,20,0
0.016666667,13,14,0
0.016666667,13,11,0
0.016666667,21,14,0
0.016666667,16,10,0
0.016666667,3,18,0
0.016666667,15,4,0
0.016666667,20,21,0.001
0.016666667,17,0,0.066
0.016666667,8,2,0.066
0.016666667,9,17,0.001
0.016666667,8,9,0.001
0.016666667,18,8,0.067
0.016666667,21,21,0
0.016666667,22,3,0.066
0.016666667,18,5,0.001
0.016666667,20,17,0.001
0.016666667,6,8,0.067
0.016666667,3,24,0.067
0.016666667,17,21,0
0.016666667,14,4,0.001
0.016666667,9,16,0.067
0.016666667,8,8,0.067
0.016666667,8,13,0.065
0.016666667,16,17,0
0.016666667,10,8,0.067
0.016666667,13,16,0.059
0.016666667,20,6,0.065
0.016666667,5,9,0.001
0.016666667,18,9,0.001
0.016666667,18,22,0.065
0.016666667,9,1,0
0.016666667,9,11,0
0.016666667,21,16,0.059
0.016666667,2,21,0.001
0.016666667,6,1,0
0.016666667,15,11,0
0.016666667,8,21,0.001
0.016666667,3,2,0.065
0.016666667,13,0,0.062
0.016666667,7,17,0
0.016666667,7,23,0
0.016666667,9,13,0.001
0.016666667,20,9,0
0.016666667,4,7,0
0.016666667,4,16,0.067
0.016666667,10,3,0
0.016666667,7,14,0.066
0.016666667,21,20,0
0.016666667,10,0,0.066
0.016666667,20,2,0.001
0.016666667,21,18,0
0.016666667,18,23,0
0.016666667,17,18,0.065
0.016666667,17,7,0
0.016666667,8,23,0
0.016666667,12,22,0.066
0.016666667,19,8,0.067
0.016666667,12,1,0.059
0.016666667,21,11,0
0.016666667,11,5,0
0.016666667,19,10,0.001
0.016666667,17,9,0.001
0.016666667,20,11,0
0.016666667,14,0,0.066
0.016666667,1,6,0
0.016666667,6,2,0.065
0.016666667,6,24,0.067
0.016666667,3,9,0.001
0.016666667,3,19,0
0.016666667,21,5,0
0.016666667,13,17,0.007
0.016666667,22,22,0.066
0.016666667,0,10,0.067
0.016666667,12,16,0.001
0.016666667,8,20,0
0.016666667,12,11,0.067
0.016666667,20,22,0.065
0.016666667,17,15,0
0.016666667,22,2,0.063
0.016666667,4,17,0
0.016666667,13,24,0.062
0.016666667,14,22,0
0.016666667,19,6,0.001
0.016666667,20,7,0
0.016666667,22,20,0.066
0.016666667,20,12,0
0.016666667,11,22,0
0.016666667,10,10,0
0.016666667,17,19,0
0.016666667,8,6,0.001
0.016666667,1,24,0.062
0.016666667,0,9,0.063
0.016666667,21,15,0.008
0.016666667,3,22,0.066
0.016666667,0,3,0.067
0.016666667,17,3,0
0.016666667,10,11,0
0.016666667,6,4,0
0.016666667,1,7,0.008
0.016666667,17,1,0
0.016666667,1,0,0.062
0.016666667,7,0,0.066
0.016666667,22,7,0.062
0.016666667,15,5,0.001
0.016666667,16,4,0
0.016666667,18,16,0.067
0.016666667,13,10,0
