time_period,xcoord,ycoord,depth
38,19,22,0
38,14,20,0
38,15,23,0
38,6,20,0
38,20,19,0
38,10,18,0
38,3,8,25.057
38,6,23,0
38,13,11,0
38,10,7,0
38,18,13,0
38,13,1,317.727
38,1,2,0
38,16,12,0
38,10,3,0
38,7,19,0
38,6,18,0
38,1,17,196.8
38,9,11,0
38,11,0,102.301
38,19,14,0
38,2,10,0
38,21,21,0
38,3,19,0
38,7,10,0
38,1,20,0
38,19,23,0
38,11,17,236.75
38,12,9,89.729
38,7,12,0
38,7,1,0
38,14,0,126.251
38,16,5,0
38,2,14,0
38,4,13,0
38,8,20,0
38,3,21,0
38,8,13,0
38,10,21,0
38,22,19,48.917
38,11,14,0
38,4,3,0
38,19,1,29.852
38,9,20,0
38,21,2,364.393
38,11,4,298.276
38,9,10,0
38,10,12,0
38,2,7,0
38,19,19,0
38,1,3,0
38,12,6,103.253
38,19,3,21.359
38,3,18,0
38,4,22,0
38,14,13,0
38,8,12,0
38,20,24,7.642
38,3,10,0
38,10,10,0
38,16,10,0
38,18,20,0
38,13,17,246.324
38,2,0,30.864
38,13,2,318.182
38,4,0,47.448
38,0,3,11.255
38,15,16,62.462
38,16,9,0
38,13,12,0
38,4,14,0
38,0,19,3.739
38,14,10,0
38,10,19,0
38,2,2,0
38,12,19,27.08
38,5,0,55.439
38,5,6,0
38,13,0,118.107
38,21,7,332.001
38,2,4,0
38,13,22,0
38,10,13,0
38,0,18,3.611
38,13,3,0
38,3,13,0
38,9,6,0
38,14,6,0
38,14,12,0
38,17,7,0.748
38,12,0,109.959
38,13,8,100.188
38,0,17,2.324
38,17,12,0
38,17,18,0
38,21,0,173.731
38,18,4,9.785
38,22,20,41.22
38,22,2,165.758
38,7,0,71.263
38,5,8,41.526
38,19,21,0
38,21,19,0
38,9,2,0
38,0,6,5.478
38,20,9,0
38,18,14,0
38,18,5,4.914
38,14,5,0
38,11,19,0
38,22,4,152.266
38,5,16,12.339
38,21,12,0
38,11,9,280.061
38,11,15,252.212
38,15,0,132.024
38,3,24,3.134
38,0,7,2.787
38,7,4,0
38,16,19,0
38,11,12,0
38,21,4,24.532
38,14,3,0
38,5,18,0
38,11,10,0
38,0,24,3.667
38,10,17,0
38,9,12,0
38,4,23,0
38,19,12,0
38,7,24,3.291
38,15,18,0
38,10,24,3.134
38,8,24,3.328
38,5,9,0
38,17,15,0
38,21,11,0
38,20,21,0
38,8,5,0
38,17,13,0
38,17,16,68.09
38,4,19,0
38,8,18,0
38,17,10,0
38,13,14,0
38,1,6,0
38,22,10,113.019
38,12,16,49.904
38,8,7,0
38,8,15,0
38,22,16,71.532
38,16,6,0
38,1,21,0
38,12,8,93.511
38,3,20,0
38,12,10,85.426
38,13,10,0
38,16,7,0
38,20,17,0
38,14,21,0
38,0,9,0.626
38,21,5,18.011
38,20,23,0
38,7,5,0
38,16,0,137.75
38,18,1,22.27
38,8,8,65.057
38,22,17,64.087
38,15,12,0
38,17,3,7.087
38,8,1,0
38,19,5,10.256
38,14,8,106.851
38,2,20,0
38,4,10,0
38,5,21,0
38,20,18,0
38,12,7,98.53
38,10,0,94.61
38,7,18,0
38,0,13,0.409
38,11,18,0
38,20,6,6.926
38,7,7,0
38,2,15,0
38,4,20,0
38,2,24,3.176
38,13,4,0
38,13,16,54.322
38,15,13,0
38,2,13,0
38,13,21,0
38,9,15,0
38,12,5,106.215
38,19,15,0
38,7,6,0
38,21,13,0
38,4,2,0
38,5,3,0
38,15,1,4.295
38,14,7,0
38,16,23,0
38,18,17,0
38,4,5,0
38,10,22,0
38,11,21,0
38,9,22,0
38,8,3,0
38,0,2,12.219
38,20,5,14.58
38,5,13,0
38,4,9,0
38,18,12,0
38,12,2,110.518
38,12,4,108.472
38,2,18,0
38,16,22,0
38,0,20,3.744
38,12,3,109.943
38,14,18,0
38,6,15,0
38,14,17,0
38,3,23,0
38,9,5,0
38,18,22,0
38,17,19,0
38,1,16,2.352
38,20,16,72.064
38,2,21,0
38,19,9,0
38,16,15,0
38,16,8,115.856
38,6,19,0
38,18,0,150.463
38,0,0,13.418
38,3,0,39.407
38,13,18,0
38,16,24,3.141
38,14,23,0
38,5,24,3.17
38,10,23,0
38,12,11,80.735
38,21,22,0
38,2,22,0
38,5,17,0
38,22,11,106.761
38,18,6,1.061
38,7,20,0
38,13,23,205.784
38,22,24,8.167
38,13,7,305.444
38,2,9,0
38,19,0,157.277
38,9,21,0
38,17,9,0
38,17,24,4.653
38,1,13,0
38,7,17,0
38,8,19,0
38,20,2,32.873
38,0,12,0.571
38,18,15,0
38,6,8,49.539
38,0,23,3.869
38,9,9,0
38,11,11,0
38,1,4,0
38,14,11,0
38,18,10,0
38,5,19,0
38,22,9,119.192
38,19,11,0
38,7,8,57.388
38,20,10,0
38,22,7,132.926
38,4,11,0
38,21,6,13.295
38,22,5,146.179
38,0,5,7.864
38,19,16,71.365
38,16,2,4.216
38,2,19,0
38,12,14,64.699
38,11,6,0
38,16,17,0
38,22,18,56.547
38,11,2,299.629
38,15,22,0
38,16,11,0
38,15,9,0
38,19,20,0
38,21,1,365.727
38,15,4,0
38,6,24,3.232
38,21,18,0
38,3,6,0
38,8,23,0
38,22,15,79.665
38,0,16,0.23
38,10,16,41.051
38,10,11,0
38,7,2,0
38,17,22,0
38,20,8,125.384
38,18,8,122.275
38,19,8,124.247
38,9,19,0
38,8,4,0
38,8,21,0
38,22,3,157.948
38,1,11,0
38,13,9,294.129
38,0,21,3.767
38,11,22,0
38,11,8,86.786
38,5,12,0
38,2,5,0
38,4,21,0
38,20,12,0
38,7,14,0
38,10,6,0
38,5,23,0
38,8,9,0
38,1,15,207.972
38,22,13,94.119
38,6,2,0
38,10,5,0
38,5,10,0
38,20,15,0
38,15,21,0
38,14,24,0.784
38,12,24,0.143
38,1,1,221.695
38,3,7,0
38,1,22,0
38,17,1,15.454
38,2,1,0
38,20,20,0
38,6,9,0
38,13,5,0
38,1,19,0
38,9,1,0
38,15,8,111.619
38,9,17,0
38,11,7,291.039
38,15,14,0
38,19,7,5.958
38,14,16,58.834
38,15,7,0
38,7,16,24.828
38,5,15,0
38,4,16,5.842
38,1,12,0
38,19,24,7.055
38,11,5,0
38,19,18,0
38,1,0,22.287
38,21,17,261.752
38,8,17,0
38,1,7,211.075
38,11,3,0
38,18,24,6.007
38,13,6,0
38,12,15,57.444
38,6,17,0
38,21,10,0
38,8,2,0
38,21,16,72.121
38,4,24,3.131
38,1,24,3.273
38,21,20,0
38,18,11,0
38,10,8,79.781
38,17,5,1.085
38,13,15,262.187
38,16,1,9.64
38,10,4,0
38,6,21,0
38,3,17,0
38,14,1,1.594
38,4,1,0
38,11,13,0
38,3,15,0
38,10,20,0
38,18,18,0
38,9,18,0
38,18,23,0
38,5,5,0
38,19,2,26.769
38,3,11,0
38,20,22,0
38,7,3,0
38,5,22,0
38,12,17,42.506
38,4,18,0
38,6,14,0
38,9,14,0
38,10,15,0
38,15,15,0
38,11,20,0
38,3,22,0
38,17,17,0
38,22,8,125.339
38,16,21,0
38,3,3,0
38,17,8,119.463
38,20,3,27.125
38,7,21,0
38,21,15,279.399
38,15,20,0
38,19,13,0
38,19,10,0
38,17,6,0.175
38,18,16,70.033
38,12,21,10.869
38,8,22,0
38,13,20,0
38,0,1,12.664
38,8,11,0
38,5,14,0
38,1,5,0
38,1,23,210.05
38,15,6,0
38,2,17,0
38,14,4,0
38,8,14,0
38,12,12,75.697
38,18,21,0
38,16,18,0
38,20,11,0
38,10,14,0
38,15,2,1.342
38,10,9,0
38,5,20,0
38,12,23,2.147
38,9,8,72.529
38,2,8,16.62
38,19,4,16.109
38,15,10,0
38,1,9,204.321
38,5,2,0
38,14,9,0
38,20,1,363.996
38,17,21,0
38,16,14,0
38,9,0,86.878
38,4,12,0
38,7,15,0
38,17,20,0
38,19,17,0
38,2,16,2.652
38,15,19,0
38,9,7,0
38,3,16,3.063
38,7,11,0
38,20,14,0
38,9,23,0
38,9,16,36.005
38,17,0,143.802
38,14,22,0
38,5,1,0
38,1,10,0
38,7,22,0
38,1,8,7.77
38,18,2,19.549
38,9,3,0
38,20,7,7.501
38,12,1,110.167
38,1,18,0
38,18,9,0
38,12,20,19.07
38,22,22,25.302
38,2,6,0
38,13,13,0
38,12,13,70.342
38,10,2,0
38,0,4,9.795
38,13,19,0
38,4,4,0
38,22,21,33.254
38,18,7,3.596
38,17,11,0
38,4,15,0
38,6,16,18.739
38,21,8,125.95
38,0,22,3.811
38,5,11,0
38,9,4,0
38,21,23,216.3
38,4,8,33.362
38,14,2,0.686
38,6,5,0
38,12,22,3.889
38,3,14,0
38,17,14,0
38,22,14,87.768
38,6,11,0
38,8,0,79.096
38,8,10,0
38,15,5,0
38,14,15,0
38,18,3,14.601
38,6,1,0
38,4,6,0
38,16,20,0
38,17,23,0
38,6,3,0
38,11,1,300.028
38,21,14,0
38,16,4,0.166
38,8,6,0
38,10,1,0
38,16,16,65.557
38,15,3,0
38,6,13,0
38,6,10,0
38,17,4,2.9
38,21,3,30.611
38,5,4,0
38,15,11,0
38,22,0,169.848
38,4,17,0
38,9,24,3.318
38,6,6,0
38,19,6,3.395
38,16,13,0
38,22,23,16.792
38,8,16,30.59
38,0,8,0.023
38,6,12,0
38,21,24,7.723
38,0,15,0.178
38,4,7,0
38,3,4,0
38,13,24,0.232
38,3,2,0
38,5,7,0
38,20,0,165.511
38,11,24,1.894
38,2,11,0
38,3,12,0
38,6,7,0
38,7,9,0
38,17,2,11.484
38,6,0,63.377
38,3,5,0
38,7,23,0
38,15,17,0
38,15,24,1.739
38,22,6,140.655
38,6,22,0
38,7,13,0
38,1,14,0
38,11,23,198.449
38,22,12,100.452
38,20,13,0
38,0,10,0.871
38,22,1,173.554
38,9,13,0
38,2,3,0
38,20,4,22.047
38,21,9,315.313
38,2,12,0
38,6,4,0
38,18,19,0
38,2,23,0
38,14,19,0
38,12,18,34.895
38,14,14,0
38,0,14,0.264
38,16,3,1.335
38,3,1,0
38,3,9,0
38,11,16,45.705
38,0,11,0.735
